e_code,injury_desc_long,injury_desc_short
6.3,Activities involving bowling,Bowling
6.4,Activities involving bike riding,Bike riding
6.5,Activities involving jumping rope,Jumping rope
6.6,Activities involving non-running track and field events,Non-running track/field
6.9,Other activity involving other sports and athletics played individually,"Individ sports,athletics"
7,Activities involving american tackle football,Tackle football
7.1,Activities involving american flag or touch football,Amer flag/touch football
7.2,Activities involving rugby,Rugby
7.3,Activities involving baseball,Baseball
7.4,Activities involving lacrosse and field hockey,"Lacrosse,field hockey"
7.5,Activities involving soccer,Soccer
7.6,Activities involving basketball,Basketball
7.7,Activities involving volleyball (beach) (court),"Volleyball (beach,court)"
7.8,"Activities involving physical games generally associated with school recess, summer camp and children","School recess,camp"
7.9,Other activity involving other sports and athletes played as a team or group,"Team sports,athletes"
8,Activities involving boxing,Boxing
8.1,Activities involving wrestling,Wrestling
8.2,Activities involving racquet and hand sports,Racquet/hand sports
8.3,Activities involving frisbee,Frisbee
8.4,Activities involving martial arts,Martial arts
8.9,Other specified sports and athletics activity,"Sports,athletics NEC"
9,Activity involving exercise machines primarily for cardiorespiratory conditioning,Exercise mach(cardiorsp)
9.1,Activity involving calisthenics,Calisthenics
9.2,Activity involving aerobic and step exercise,"Aerobic,step exercise"
9.3,Activity involving circuit training,Circuit training
9.4,Activity involving obstacle course,Obstacle course
9.5,Activity involving grass drills,Grass drills
9.9,Other activity involving cardiorespiratory exercise,Cardioresp exercise NEC
10,Activity involving exercise machines primarily for muscle strengthening,Muscle strength mach
10.1,"Activity involving push-ups, pull-ups, sit-ups","Push-ups,pull-ups,sit-up"
10.2,Activity involving free weights,Free weights
10.3,Activity involving pilates,Pilates
10.9,Other activity involving other muscle strengthening exercises,Muscle strength exer NEC
11,Activities involving computer keyboarding,Computer keyboarding
11.1,Activities involving hand held interactive electronic device,Handheld interac elec dv
11.9,Other activity involving computer technology and electronic devices,Computer tech NEC
12,Activities involving knitting and crocheting,Knitting & crocheting
12.1,Activities involving sewing,Sewing
12.2,Activities involving furniture building and finishing,Furniture build/finish
12.9,Activity involving other arts and handcrafts,Arts & handcrafts NEC
13,Activities involving personal bathing and showering,Personal bathing/shower
13.1,Activities involving laundry,Laundry
13.2,Activities involving vacuuming,Vacuuming
13.3,Activities involving ironing,Ironing
13.4,Activities involving floor mopping and cleaning,Floor mopping/cleaning
13.5,Activities involving residential relocation,Residential relocation
13.8,Other personal hygiene activity,Personal hygiene NEC
13.9,Other household maintenance,Househld maintenance NEC
14,Caregiving involving bathing,Caregiving-bathing
14.1,Caregiving involving lifting,Caregiving-lifting
14.9,Other activity involving person providing caregiving,Caregiving NEC
15,Activities involving food preparation and clean up,Food prep & cleanup
15.1,Activities involving grilling and smoking food,Grilling & smoking food
15.2,Activities involving cooking and baking,Cooking & baking
15.9,Other activity involving cooking and grilling,Cooking & grilling NEC
16,"Activities involving digging, shoveling and raking","Digging,shovel,rake"
16.1,Activities involving gardening and landscaping,Gardening/landscaping
16.2,Activities involving building and construction,Building & construction
16.9,"Other activity involving property and land maintenance, building and construction",Land maintain/cnstrt NEC
17,Roller coaster riding,Roller coaster riding
17.9,Other activity involving external motion,External motion NEC
18,Activities involving piano playing,Piano playing
18.1,Activities involving drum and other percussion instrument playing,Drum/percussion playing
18.2,Activities involving string instrument playing,String instrument play
18.3,Activities involving winds and brass instrument playing,Winds/brass instru play
19,Activities involving walking an animal,Walking an animal
19.1,Activities involving milking an animal,Milking an animal
19.2,Activities involving grooming and shearing an animal,Groom/shearing animal
19.9,Other activity involving animal care,Animal care NEC
29,Refereeing a sports activity,Refereeing sports
29.1,Spectator at an event,Spectator at event
29.2,Rough housing and horseplay,Rough housing/horseplay
29.9,Other activity,Activity NEC
30,Unspecified activity,Activity NOS
800,Railway accident involving collision with rolling stock and injuring railway employee,RR collision NOS-employ
800.1,Railway accident involving collision with rolling stock and injuring passenger on railway,RR coll NOS-passenger
800.2,Railway accident involving collision with rolling stock and injuring pedestrian,RR coll NOS-pedestrian
800.3,Railway accident involving collision with rolling stock and injuring pedal cyclist,RR coll NOS-ped cyclist
800.8,Railway accident involving collision with rolling stock and injuring other specified person,RR coll NOS-person NEC
800.9,Railway accident involving collision with rolling stock and injuring unspecified person,RR coll NOS-person NOS
801,Railway accident involving collision with other object and injuring railway employee,RR coll w oth obj-employ
801.1,Railway accident involving collision with other object and injuring passenger on railway,RR coll w oth obj-pasngr
801.2,Railway accident involving collision with other object and injuring pedestrian,RR coll w oth obj-pedest
801.3,Railway accident involving collision with other object and injuring pedal cyclist,RR coll w oth obj-cycl
801.8,Railway accident involving collision with other object and injuring other specified person,RR col w oth obj-per NEC
801.9,Railway accident involving collision with other object and injuring unspecified person,RR col w oth obj-per NOS
802,Railway accident involving derailment without antecedent collision injuring railway employee,RR acc w derail-employee
802.1,Railway accident involving derailment without antecedent collision injuring passenger on railway,RR acc w derail-passeng
802.2,Railway accident involving derailment without antecedent collision injuring pedestrian,RR acc w derail-pedest
802.3,Railway accident involving derailment without antecedent collision injuring pedal cyclist,RR acc w derail-ped cycl
802.8,Railway accident involving derailment without antecedent collision injuring other specified person,RR acc w derail-pers NEC
802.9,Railway accident involving derailment without antecedent collision injuring unspecified person,RR acc w derail-pers NOS
803,"Railway accident involving explosion, fire, or burning injuring railway employee",RR acc w explosion-empl
803.1,"Railway accident involving explosion, fire, or burning injuring passenger on railway",RR acc w explos-pasngr
803.2,"Railway accident involving explosion, fire, or burning injuring pedestrian",RR acc w explos-pedest
803.3,"Railway accident involving explosion, fire, or burning injuring pedal cyclist",RR acc w explos-ped cycl
803.8,"Railway accident involving explosion, fire, or burning injuring other specified person",RR acc w explos-pers NEC
803.9,"Railway accident involving explosion, fire, or burning injuring unspecified person",RR acc w explos-pers NOS
804,"Fall in, on, or from railway train injuring railway employee",Fall on/from train-empl
804.1,"Fall in, on, or from railway train injuring passenger on railway",Fall from train-passengr
804.2,"Fall in, on, or from railway train injuring pedestrian",Fall from train-pedest
804.3,"Fall in, on, or from railway train injuring pedal cyclist",Fall from train-ped cycl
804.8,"Fall in, on, or from railway train injuring other specified person",Fall from train-pers NEC
804.9,"Fall in, on, or from railway train injuring unspecified person",Fall from train-pers NOS
805,Railway employee hit by rolling stock,Hit by train-employee
805.1,Passenger on railway hit by rolling stock,Hit by train-passenger
805.2,Pedestrian hit by rolling stock,Hit by train-pedestrian
805.3,Pedal cyclist hit by rolling stock,Hit by train-ped cyclist
805.8,Other specified person hit by rolling stock,Hit by train-person NEC
805.9,Unspecified person hit by rolling stock,Hit by train-person NOS
806,Other specified railway accident injuring railway employee,RR acc NEC-employee
806.1,Other specified railway accident injuring passenger on railway,RR acc NEC-passenger
806.2,Other specified railway accident injuring pedestrian,RR acc NEC-pedestrian
806.3,Other specified railway accident injuring pedal cyclist,RR acc NEC-ped cyclist
806.8,Other specified railway accident injuring other specified person,RR acc NEC-person NEC
806.9,Other specified railway accident injuring unspecified person,RR acc NEC-person NOS
807,Railway accident of unspecified nature injuring railway employee,RR accident NOS-employee
807.1,Railway accident of unspecified nature injuring passenger on railway,RR acc NOS-passenger
807.2,Railway accident of unspecified nature injuring pedestrian,RR acc NOS-pedestrian
807.3,Railway accident of unspecified nature injuring pedal cyclist,RR acc NOS-ped cyclist
807.8,Railway accident of unspecified nature injuring other specified person,RR acc NOS-person NEC
807.9,Railway accident of unspecified nature injuring unspecified person,RR acc NOS-person NOS
810,Motor vehicle traffic accident involving collision with train injuring driver of motor vehicle other than motorcycle,Mv-train coll-driver
810.1,Motor vehicle traffic accident involving collision with train injuring passenger in motor vehicle other than motorcycle,Mv-train coll-pasngr
810.2,Motor vehicle traffic accident involving collision with train injuring motorcyclist,Mv-train coll-motorcycl
810.3,Motor vehicle traffic accident involving collision with train injuring passenger on motorcycle,Mv-train coll-mcycl psgr
810.4,Motor vehicle traffic accident involving collision with train injuring occupant of streetcar,Mv-train coll-st car
810.5,Motor vehicle traffic accident involving collision with train injuring rider of animal; occupant of animal-drawn vehicle,Mv-train coll-anim rid
810.6,Motor vehicle traffic accident involving collision with train injuring pedal cyclist,Mv-train coll-ped cycl
810.7,Motor vehicle traffic accident involving collision with train injuring pedestrian,Mv-train coll-pedest
810.8,Motor vehicle traffic accident involving collision with train injuring other specified person,Mv-train coll-pers NEC
810.9,Motor vehicle traffic accident involving collision with train injuring unspecified person,Mv-train coll-pers NOS
811,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring driver of motor vehicle other than motorcycle,Reentrant mv coll-driver
811.1,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring passenger in motor vehicle other than motorcycle,Reentrant mv coll-pasngr
811.2,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring motorcyclist,Reentrant coll-motcycl
811.3,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring passenger on motorcycle,Reentrant coll-mcyc psgr
811.4,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring occupant of streetcar,Reentrant coll-st car
811.5,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring rider of animal; occupant of animal-drawn vehicle,Reentrant coll-anim rid
811.6,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring pedal cyclist,Reentrant coll-ped cycl
811.7,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring pedestrian,Reentrant coll-pedest
811.8,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring other specified person,Reentrant coll-pers NEC
811.9,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring unspecified person,Reentrant coll-pers NOS
812,Other motor vehicle traffic accident involving collision with motor vehicle injuring driver of motor vehicle other than motorcycle,Mv collision NOS-driver
812.1,Other motor vehicle traffic accident involving collision with motor vehicle injuring passenger in motor vehicle other than motorcycle,Mv collision NOS-pasngr
812.2,Other motor vehicle traffic accident involving collision with motor vehicle injuring motorcyclist,Mv collis NOS-motorcycl
812.3,Other motor vehicle traffic accident involving collision with motor vehicle injuring passenger on motorcycle,Mv coll NOS-mcycl psngr
812.4,Other motor vehicle traffic accident involving collision with motor vehicle injuring occupant of streetcar,Mv collision NOS-st car
812.5,Other motor vehicle traffic accident involving collision with motor vehicle injuring rider of animal; occupant of animal-drawn vehicle,Mv coll NOS-anim rid
812.6,Other motor vehicle traffic accident involving collision with motor vehicle injuring pedal cyclist,Mv coll NOS-ped cycl
812.7,Other motor vehicle traffic accident involving collision with motor vehicle injuring pedestrian,Mv collision NOS-pedest
812.8,Other motor vehicle traffic accident involving collision with motor vehicle injuring other specified person,Mv collis NOS-pers NEC
812.9,Other motor vehicle traffic accident involving collision with motor vehicle injuring unspecified person,Mv collis NOS-pers NOS
813,Motor vehicle traffic accident involving collision with other vehicle injuring driver of motor vehicle other than motorcycle,Mv-oth veh coll-driver
813.1,Motor vehicle traffic accident involving collision with other vehicle injuring passenger in motor vehicle other than motorcycle,Mv-oth veh coll-pasngr
813.2,Motor vehicle traffic accident involving collision with other vehicle injuring motorcyclist,Mv-oth veh coll-motcycl
813.3,Motor vehicle traffic accident involving collision with other vehicle injuring passenger on motorcycle,Mv-oth veh coll-mcyc psg
813.4,Motor vehicle traffic accident involving collision with other vehicle injuring occupant of streetcar,Mv-oth veh coll-st car
813.5,Motor vehicle traffic accident involving collision with other vehicle injuring rider of animal; occupant of animal-drawn vehicle,Mv-oth veh coll-anim rid
813.6,Motor vehicle traffic accident involving collision with other vehicle injuring pedal cyclist,Mv-oth veh coll-ped cycl
813.7,Motor vehicle traffic accident involving collision with other vehicle injuring pedestrian,Mv-oth veh coll-pedest
813.8,Motor vehicle traffic accident involving collision with other vehicle injuring other specified person,Mv-oth veh coll-pers NEC
813.9,Motor vehicle traffic accident involving collision with other vehicle injuring unspecified person,Mv-oth veh coll-pers NOS
814,Motor vehicle traffic accident involving collision with pedestrian injuring driver of motor vehicle other than motorcycle,Mv coll w pedest-driver
814.1,Motor vehicle traffic accident involving collision with pedestrian injuring passenger in motor vehicle other than motorcycle,Mv coll w pedest-pasngr
814.2,Motor vehicle traffic accident involving collision with pedestrian injuring motorcyclist,Mv coll w pedest-motcycl
814.3,Motor vehicle traffic accident involving collision with pedestrian injuring passenger on motorcycle,Mv coll w ped-mcycl psgr
814.4,Motor vehicle traffic accident involving collision with pedestrian injuring occupant of streetcar,Mv coll w pedest-st car
814.5,Motor vehicle traffic accident involving collision with pedestrian injuring rider of animal; occupant of animal drawn vehicle,Mv coll w ped-anim rid
814.6,Motor vehicle traffic accident involving collision with pedestrian injuring pedal cyclist,Mv coll w ped-ped cycl
814.7,Motor vehicle traffic accident involving collision with pedestrian injuring pedestrian,Mv coll w pedest-pedest
814.8,Motor vehicle traffic accident involving collision with pedestrian injuring other specified person,Mv coll w pedes-pers NEC
814.9,Motor vehicle traffic accident involving collision with pedestrian injuring unspecified person,Mv coll w pedes-pers NOS
815,Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle,Mv coll w oth obj-driver
815.1,Other motor vehicle traffic accident involving collision on the highway injuring passenger in motor vehicle other than motorcycle,Mv coll w oth obj-pasngr
815.2,Other motor vehicle traffic accident involving collision on the highway injuring motorcyclist,Mv coll w oth obj-mocycl
815.3,Other motor vehicle traffic accident involving collision on the highway injuring passenger on motorcycle,Mv coll w obj-mcycl psgr
815.4,Other motor vehicle traffic accident involving collision on the highway injuring occupant of streetcar,Mv coll w obj-st car
815.5,Other motor vehicle traffic accident involving collision on the highway injuring rider of animal; occupant of animal-drawn vehicle,Mv coll w obj-anim rider
815.6,Other motor vehicle traffic accident involving collision on the highway injuring pedal cyclist,Mv coll w obj-ped cycl
815.7,Other motor vehicle traffic accident involving collision on the highway injuring pedestrian,Mv coll w obj-pedest
815.8,Other motor vehicle traffic accident involving collision on the highway injuring other specified person,Mv coll w obj-pers NEC
815.9,Other motor vehicle traffic accident involving collision on the highway injuring unspecified person,Mv coll w obj-pers NOS
816,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring driver of motor vehicle other than motorcycle",Loss control mv acc-driv
816.1,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring passenger in motor vehicle other than motorcycle",Loss control mv acc-psgr
816.2,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring motorcyclist",Loss control mv-mocycl
816.3,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring passenger on motorcycle",Loss control mv-mcyc psg
816.4,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring occupant of streetcar",Loss cont mv acc-st car
816.5,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring rider of animal; occupant of animal-drawn vehicle",Loss cont mv-anim rider
816.6,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring pedal cyclist",Loss control mv-ped cycl
816.7,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring pedestrian",Loss control mv-pedest
816.8,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring other specified person",Loss control mv-pers NEC
816.9,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring unspecified person",Loss control mv-pers NOS
817,Noncollision motor vehicle traffic accident while boarding or alighting injuring driver of motor vehicle other than motorcycle,Mv acc board/alight-driv
817.1,Noncollision motor vehicle traffic accident while boarding or alighting injuring passenger in motor vehicle other than motorcycle,Mv acc board/alight-psgr
817.2,Noncollision motor vehicle traffic accident while boarding or alighting injuring motorcyclist,Mv board/alight-motcycl
817.3,Noncollision motor vehicle traffic accident while boarding or alighting injuring passenger on motorcycle,Mv brd/alight-mcycl psgr
817.4,Noncollision motor vehicle traffic accident while boarding or alighting injuring occupant of streetcar,Mv acc brd/alight-st car
817.5,Noncollision motor vehicle traffic accident while boarding or alighting injuring rider of animal; occupant of animal-drawn vehicle,Mv brd/alight-anim rider
817.6,Noncollision motor vehicle traffic accident while boarding or alighting injuring pedal cyclist,Mv brd/alight-ped cycl
817.7,Noncollision motor vehicle traffic accident while boarding or alighting injuring pedestrian,Mv brd/alight-pedestrian
817.8,Noncollision motor vehicle traffic accident while boarding or alighting injuring other specified person,Mv board/alight-pers NEC
817.9,Noncollision motor vehicle traffic accident while boarding or alighting injuring unspecified person,Mv board/alight-pers NOS
818,Other noncollision motor vehicle traffic accident injuring driver of motor vehicle other than motorcycle,Mv traff acc NEC-driver
818.1,Other noncollision motor vehicle traffic accident injuring passenger in motor vehicle other than motorcycle,Mv traff acc NEC-pasngr
818.2,Other noncollision motor vehicle traffic accident injuring motorcyclist,Mv traff acc NEC-mocycl
818.3,Other noncollision motor vehicle traffic accident injuring passenger on motorcycle,Mv traff acc-mcycl psgr
818.4,Other noncollision motor vehicle traffic accident injuring occupant of streetcar,Mv traff acc NEC-st car
818.5,Other noncollision motor vehicle traffic accident injuring rider of animal; occupant of animal-drawn vehicle,Mv traff acc-anim rider
818.6,Other noncollision motor vehicle traffic accident injuring pedal cyclist,Mv traff acc-ped cyc
818.7,Other noncollision motor vehicle traffic accident injuring pedestrian,Mv traff acc NEC-pedest
818.8,Other noncollision motor vehicle traffic accident injuring other specified person,Mv traff acc-pers NEC
818.9,Other noncollision motor vehicle traffic accident injuring unspecified person,Mv traff acc-pers NOS
819,Motor vehicle traffic accident of unspecified nature injuring driver of motor vehicle other than motorcycle,Traffic acc NOS-driver
819.1,Motor vehicle traffic accident of unspecified nature injuring passenger in motor vehicle other than motorcycle,Traffic acc NOS-pasngr
819.2,Motor vehicle traffic accident of unspecified nature injuring motorcyclist,Traffic acc NOS-motcycl
819.3,Motor vehicle traffic accident of unspecified nature injuring passenger on motorcycle,Traff acc NOS-mcycl psgr
819.4,Motor vehicle traffic accident of unspecified nature injuring occupant of streetcar,Traffic acc NOS-st car
819.5,Motor vehicle traffic accident of unspecified nature injuring rider of animal; occupant of animal-drawn vehicle,Traff acc NOS-anim rider
819.6,Motor vehicle traffic accident of unspecified nature injuring pedal cyclist,Traffic acc NOS-ped cycl
819.7,Motor vehicle traffic accident of unspecified nature injuring pedestrian,Traffic acc NOS-pedest
819.8,Motor vehicle traffic accident of unspecified nature injuring other specified person,Traffic acc NOS-pers NEC
819.9,Motor vehicle traffic accident of unspecified nature injuring unspecified person,Traffic acc NOS-pers NOS
820,Nontraffic accident involving motor-driven snow vehicle injuring driver of motor vehicle other than motorcycle,Snow veh acc-driver
820.1,Nontraffic accident involving motor-driven snow vehicle injuring passenger in motor vehicle other than motorcycle,Snow veh acc-pasngr
820.2,Nontraffic accident involving motor-driven snow vehicle injuring motorcyclist,Snow veh acc-motorcycl
820.3,Nontraffic accident involving motor-driven snow vehicle injuring passenger on motorcycle,Snow veh acc-mcycl psgr
820.4,Nontraffic accident involving motor-driven snow vehicle injuring occupant of streetcar,Snow veh acc-st car
820.5,Nontraffic accident involving motor-driven snow vehicle injuring rider of animal; occupant of animal-drawn vehicle,Snow veh acc-anim rider
820.6,Nontraffic accident involving motor-driven snow vehicle injuring pedal cyclist,Snow veh acc-ped cycl
820.7,Nontraffic accident involving motor-driven snow vehicle injuring pedestrian,Snow veh acc-pedest
820.8,Nontraffic accident involving motor-driven snow vehicle injuring other specified person,Snow veh acc-pers NEC
820.9,Nontraffic accident involving motor-driven snow vehicle injuring unspecified person,Snow veh acc-pers NOS
821,Nontraffic accident involving other off-road motor vehicle injuring driver of motor vehicle other than motorcycle,Oth off-road mv acc-driv
821.1,Nontraffic accident involving other off-road motor vehicle injuring passenger in motor vehicle other than motorcycle,Oth off-road mv acc-psgr
821.2,Nontraffic accident involving other off-road motor vehicle injuring motorcyclist,Oth off-road mv-mocycl
821.3,Nontraffic accident involving other off-road motor vehicle injuring passenger on motorcycle,Oth off-road mv-mcyc psg
821.4,Nontraffic accident involving other off-road motor vehicle injuring occupant of streetcar,Oth off-road mv-st car
821.5,Nontraffic accident involving other off-road motor vehicle injuring rider of animal; occupant of animal-drawn vehicle,Oth off-road mv-anim rid
821.6,Nontraffic accident involving other off-road motor vehicle injuring pedal cyclist,Oth off-road mv-ped cycl
821.7,Nontraffic accident involving other off-road motor vehicle injuring pedestrian,Oth off-road mv-pedest
821.8,Nontraffic accident involving other off-road motor vehicle injuring other specified person,Oth off-road mv-pers NEC
821.9,Nontraffic accident involving other off-road motor vehicle injuring unspecified person,Oth off-road mv-pers NOS
822,Other motor vehicle nontraffic accident involving collision with moving object injuring driver of motor vehicle other than motorcycle,Oth coll w mov obj-driv
822.1,Other motor vehicle nontraffic accident involving collision with moving object injuring passenger in motor vehicle other than motorcycle,Oth coll w mov obj-psgr
822.2,Other motor vehicle nontraffic accident involving collision with moving object injuring motorcyclist,Oth coll mov obj-mocycl
822.3,Other motor vehicle nontraffic accident involving collision with moving object injuring passenger on motorcycle,Oth coll mov obj-cyc psg
822.4,Other motor vehicle nontraffic accident involving collision with moving object injuring occupant of streetcar,Oth coll mov obj-st car
822.5,Other motor vehicle nontraffic accident involving collision with moving object injuring rider of animal; occupant of animal-drawn vehicle,Oth coll mov obj-rider
822.6,Other motor vehicle nontraffic accident involving collision with moving object injuring pedal cyclist,Oth coll mov obj-ped cyc
822.7,Other motor vehicle nontraffic accident involving collision with moving object injuring pedestrian,Oth coll mov obj-pedest
822.8,Other motor vehicle nontraffic accident involving collision with moving object injuring other specified person,Oth coll mov obj-per NEC
822.9,Other motor vehicle nontraffic accident involving collision with moving object injuring unspecified person,Oth coll mov obj-per NOS
823,Other motor vehicle nontraffic accident involving collision with stationary object injuring driver of motor vehicle other than motorcycle,Oth coll stndng obj-driv
823.1,Other motor vehicle nontraffic accident involving collision with stationary object injuring passenger in motor vehicle other than motorcycle,Oth coll stndng obj-psgr
823.2,Other motor vehicle nontraffic accident involving collision with stationary object injuring motorcyclist,Oth coll stnd obj-mocycl
823.3,Other motor vehicle nontraffic accident involving collision with stationary object injuring passenger on motorcycle,Oth coll stn obj-cyc psg
823.4,Other motor vehicle nontraffic accident involving collision with stationary object injuring occupant of streetcar,Oth coll stnd obj-st car
823.5,Other motor vehicle nontraffic accident involving collision with stationary object injuring rider of animal; occupant of animal-drawn vehicle,Oth coll stnd obj-rider
823.6,Other motor vehicle nontraffic accident involving collision with stationary object injuring pedal cyclist,Oth coll stn obj-ped cyc
823.7,Other motor vehicle nontraffic accident involving collision with stationary object injuring pedestrian,Oth coll stnd obj-pedest
823.8,Other motor vehicle nontraffic accident involving collision with stationary object injuring other specified person,Oth coll stn obj-per NEC
823.9,Other motor vehicle nontraffic accident involving collision with stationary object injuring unspecified person,Oth col-stnd-obj-per NOS
824,Other motor vehicle nontraffic accident while boarding and alighting injuring driver of motor vehicle other than motorcycle,N-traf board/alight-driv
824.1,Other motor vehicle nontraffic accident while boarding and alighting injuring passenger in motor vehicle other than motorcycle,N-traf board/alight-psgr
824.2,Other motor vehicle nontraffic accident while boarding and alighting injuring motorcyclist,N-traf brd/alight-mocycl
824.3,Other motor vehicle nontraffic accident while boarding and alighting injuring passenger on motorcycle,N-traf brd/alit-mcyc psg
824.4,Other motor vehicle nontraffic accident while boarding and alighting injuring occupant of streetcar,N-traf brd/alit-st car
824.5,Other motor vehicle nontraffic accident while boarding and alighting injuring rider of animal; occupant of animal-drawn vehicle,N-traf brd/alit-anim rid
824.6,Other motor vehicle nontraffic accident while boarding and alighting injuring pedal cyclist,N-traf brd/alit-ped cycl
824.7,Other motor vehicle nontraffic accident while boarding and alighting injuring pedestrian,N-traf brd/alit-pedest
824.8,Other motor vehicle nontraffic accident while boarding and alighting injuring other specified person,N-traf brd/alit-pers NEC
824.9,Other motor vehicle nontraffic accident while boarding and alighting injuring unspecified person,N-traf brd/alit-pers NOS
825,Other motor vehicle nontraffic accident of other and unspecified nature injuring driver of motor vehicle other than motorcycle,Mv n-traff acc NEC-driv
825.1,Other motor vehicle nontraffic accident of other and unspecified nature injuring passenger in motor vehicle other than motorcycle,Mv n-traff NEC/NOS-psgr
825.2,Other motor vehicle nontraffic accident of other and unspecified nature injuring motorcyclist,Mv n-traf acc NEC-mocycl
825.3,Other motor vehicle nontraffic accident of other and unspecified nature injuring passenger on motorcycle,Mv n-traff NEC-mcyc psgr
825.4,Other motor vehicle nontraffic accident of other and unspecified nature injuring occupant of streetcar,Mv n-traff NEC-st car
825.5,Other motor vehicle nontraffic accident of other and unspecified nature injuring rider of animal; occupant of animal-drawn vehicle,Mv n-traf NEC-anim rider
825.6,Other motor vehicle nontraffic accident of other and unspecified nature injuring pedal cyclist,Mv n-traff NEC-ped cycl
825.7,Other motor vehicle nontraffic accident of other and unspecified nature injuring pedestrian,Mv n-traff NEC-pedest
825.8,Other motor vehicle nontraffic accident of other and unspecified nature injuring other specified person,Mv n-traff NEC-pers NEC
825.9,Other motor vehicle nontraffic accident of other and unspecified nature injuring unspecified person,Mv n-traff NEC-pers NOS
826,Pedal cycle accident injuring pedestrian,Pedal cycle acc-pedest
826.1,Pedal cycle accident injuring pedal cyclist,Ped cycl acc-ped cyclist
826.2,Pedal cycle accident injuring rider of animal,Ped cycle acc-anim rider
826.3,Pedal cycle accident injuring occupant of animal-drawn vehicle,Ped cyc acc-occ anim veh
826.4,Pedal cycle accident injuring occupant of streetcar,Ped cycle acc-occ st car
826.8,Pedal cycle accident injuring other specified person,Ped cycle acc-pers NEC
826.9,Pedal cycle accident injuring unspecified person,Ped cycle acc-pers NOS
827,Animal-drawn vehicle accident injuring pedestrian,Animal drawn veh-pedest
827.2,Animal-drawn vehicle accident injuring rider of animal,Anim drawn veh-anim rid
827.3,Animal-drawn vehicle accident injuring occupant of animal drawn vehicle,Animal drawn veh-occupan
827.4,Animal-drawn vehicle accident injuring occupant of streetcar,Anim drawn-occ st car
827.8,Animal-drawn vehicle accident injuring other specified person,Anim drawn veh-pers NEC
827.9,Animal-drawn vehicle accident injuring unspecified person,Anim drawn veh-pers NOS
828,Accident involving animal being ridden injuring pedestrian,Ridden animal acc-pedest
