E_CODE,DIAGNOSIS CODE,LONG DESC,SHORT DESC
801.1,8011,Railway accident involving collision with other object and injuring passenger on railway,RR coll w oth obj-pasngr
801.2,8012,Railway accident involving collision with other object and injuring pedestrian,RR coll w oth obj-pedest
801.3,8013,Railway accident involving collision with other object and injuring pedal cyclist,RR coll w oth obj-cycl
801.8,8018,Railway accident involving collision with other object and injuring other specified person,RR col w oth obj-per NEC
801.9,8019,Railway accident involving collision with other object and injuring unspecified person,RR col w oth obj-per NOS
802.0,8020,Railway accident involving derailment without antecedent collision injuring railway employee,RR acc w derail-employee
802.1,8021,Railway accident involving derailment without antecedent collision injuring passenger on railway,RR acc w derail-passeng
802.2,8022,Railway accident involving derailment without antecedent collision injuring pedestrian,RR acc w derail-pedest
802.3,8023,Railway accident involving derailment without antecedent collision injuring pedal cyclist,RR acc w derail-ped cycl
802.8,8028,Railway accident involving derailment without antecedent collision injuring other specified person,RR acc w derail-pers NEC
802.9,8029,Railway accident involving derailment without antecedent collision injuring unspecified person,RR acc w derail-pers NOS
803.0,8030,"Railway accident involving explosion, fire, or burning injuring railway employee",RR acc w explosion-empl
803.1,8031,"Railway accident involving explosion, fire, or burning injuring passenger on railway",RR acc w explos-pasngr
803.2,8032,"Railway accident involving explosion, fire, or burning injuring pedestrian",RR acc w explos-pedest
803.3,8033,"Railway accident involving explosion, fire, or burning injuring pedal cyclist",RR acc w explos-ped cycl
803.8,8038,"Railway accident involving explosion, fire, or burning injuring other specified person",RR acc w explos-pers NEC
803.9,8039,"Railway accident involving explosion, fire, or burning injuring unspecified person",RR acc w explos-pers NOS
804.0,8040,"Fall in, on, or from railway train injuring railway employee",Fall on/from train-empl
804.1,8041,"Fall in, on, or from railway train injuring passenger on railway",Fall from train-passengr
804.2,8042,"Fall in, on, or from railway train injuring pedestrian",Fall from train-pedest
804.3,8043,"Fall in, on, or from railway train injuring pedal cyclist",Fall from train-ped cycl
804.8,8048,"Fall in, on, or from railway train injuring other specified person",Fall from train-pers NEC
804.9,8049,"Fall in, on, or from railway train injuring unspecified person",Fall from train-pers NOS
805.0,8050,Railway employee hit by rolling stock,Hit by train-employee
805.1,8051,Passenger on railway hit by rolling stock,Hit by train-passenger
805.2,8052,Pedestrian hit by rolling stock,Hit by train-pedestrian
805.3,8053,Pedal cyclist hit by rolling stock,Hit by train-ped cyclist
805.8,8058,Other specified person hit by rolling stock,Hit by train-person NEC
805.9,8059,Unspecified person hit by rolling stock,Hit by train-person NOS
806.0,8060,Other specified railway accident injuring railway employee,RR acc NEC-employee
806.1,8061,Other specified railway accident injuring passenger on railway,RR acc NEC-passenger
806.2,8062,Other specified railway accident injuring pedestrian,RR acc NEC-pedestrian
806.3,8063,Other specified railway accident injuring pedal cyclist,RR acc NEC-ped cyclist
806.8,8068,Other specified railway accident injuring other specified person,RR acc NEC-person NEC
806.9,8069,Other specified railway accident injuring unspecified person,RR acc NEC-person NOS
807.0,8070,Railway accident of unspecified nature injuring railway employee,RR accident NOS-employee
807.1,8071,Railway accident of unspecified nature injuring passenger on railway,RR acc NOS-passenger
807.2,8072,Railway accident of unspecified nature injuring pedestrian,RR acc NOS-pedestrian
807.3,8073,Railway accident of unspecified nature injuring pedal cyclist,RR acc NOS-ped cyclist
807.8,8078,Railway accident of unspecified nature injuring other specified person,RR acc NOS-person NEC
807.9,8079,Railway accident of unspecified nature injuring unspecified person,RR acc NOS-person NOS
810.0,8100,Motor vehicle traffic accident involving collision with train injuring driver of motor vehicle other than motorcycle,Mv-train coll-driver
810.1,8101,Motor vehicle traffic accident involving collision with train injuring passenger in motor vehicle other than motorcycle,Mv-train coll-pasngr
810.2,8102,Motor vehicle traffic accident involving collision with train injuring motorcyclist,Mv-train coll-motorcycl
810.3,8103,Motor vehicle traffic accident involving collision with train injuring passenger on motorcycle,Mv-train coll-mcycl psgr
810.4,8104,Motor vehicle traffic accident involving collision with train injuring occupant of streetcar,Mv-train coll-st car
810.5,8105,Motor vehicle traffic accident involving collision with train injuring rider of animal; occupant of animal-drawn vehicle,Mv-train coll-anim rid
810.6,8106,Motor vehicle traffic accident involving collision with train injuring pedal cyclist,Mv-train coll-ped cycl
810.7,8107,Motor vehicle traffic accident involving collision with train injuring pedestrian,Mv-train coll-pedest
810.8,8108,Motor vehicle traffic accident involving collision with train injuring other specified person,Mv-train coll-pers NEC
810.9,8109,Motor vehicle traffic accident involving collision with train injuring unspecified person,Mv-train coll-pers NOS
811.0,8110,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring driver of motor vehicle other than motorcycle,Reentrant mv coll-driver
811.1,8111,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring passenger in motor vehicle other than motorcycle,Reentrant mv coll-pasngr
811.2,8112,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring motorcyclist,Reentrant coll-motcycl
811.3,8113,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring passenger on motorcycle,Reentrant coll-mcyc psgr
811.4,8114,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring occupant of streetcar,Reentrant coll-st car
811.5,8115,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring rider of animal; occupant of animal-drawn vehicle,Reentrant coll-anim rid
811.6,8116,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring pedal cyclist,Reentrant coll-ped cycl
811.7,8117,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring pedestrian,Reentrant coll-pedest
811.8,8118,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring other specified person,Reentrant coll-pers NEC
811.9,8119,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring unspecified person,Reentrant coll-pers NOS
812.0,8120,Other motor vehicle traffic accident involving collision with motor vehicle injuring driver of motor vehicle other than motorcycle,Mv collision NOS-driver
812.1,8121,Other motor vehicle traffic accident involving collision with motor vehicle injuring passenger in motor vehicle other than motorcycle,Mv collision NOS-pasngr
812.2,8122,Other motor vehicle traffic accident involving collision with motor vehicle injuring motorcyclist,Mv collis NOS-motorcycl
812.3,8123,Other motor vehicle traffic accident involving collision with motor vehicle injuring passenger on motorcycle,Mv coll NOS-mcycl psngr
812.4,8124,Other motor vehicle traffic accident involving collision with motor vehicle injuring occupant of streetcar,Mv collision NOS-st car
812.5,8125,Other motor vehicle traffic accident involving collision with motor vehicle injuring rider of animal; occupant of animal-drawn vehicle,Mv coll NOS-anim rid
812.6,8126,Other motor vehicle traffic accident involving collision with motor vehicle injuring pedal cyclist,Mv coll NOS-ped cycl
812.7,8127,Other motor vehicle traffic accident involving collision with motor vehicle injuring pedestrian,Mv collision NOS-pedest
812.8,8128,Other motor vehicle traffic accident involving collision with motor vehicle injuring other specified person,Mv collis NOS-pers NEC
812.9,8129,Other motor vehicle traffic accident involving collision with motor vehicle injuring unspecified person,Mv collis NOS-pers NOS
813.0,8130,Motor vehicle traffic accident involving collision with other vehicle injuring driver of motor vehicle other than motorcycle,Mv-oth veh coll-driver
813.1,8131,Motor vehicle traffic accident involving collision with other vehicle injuring passenger in motor vehicle other than motorcycle,Mv-oth veh coll-pasngr
813.2,8132,Motor vehicle traffic accident involving collision with other vehicle injuring motorcyclist,Mv-oth veh coll-motcycl
813.3,8133,Motor vehicle traffic accident involving collision with other vehicle injuring passenger on motorcycle,Mv-oth veh coll-mcyc psg
813.4,8134,Motor vehicle traffic accident involving collision with other vehicle injuring occupant of streetcar,Mv-oth veh coll-st car
813.5,8135,Motor vehicle traffic accident involving collision with other vehicle injuring rider of animal; occupant of animal-drawn vehicle,Mv-oth veh coll-anim rid
813.6,8136,Motor vehicle traffic accident involving collision with other vehicle injuring pedal cyclist,Mv-oth veh coll-ped cycl
813.7,8137,Motor vehicle traffic accident involving collision with other vehicle injuring pedestrian,Mv-oth veh coll-pedest
813.8,8138,Motor vehicle traffic accident involving collision with other vehicle injuring other specified person,Mv-oth veh coll-pers NEC
813.9,8139,Motor vehicle traffic accident involving collision with other vehicle injuring unspecified person,Mv-oth veh coll-pers NOS
814.0,8140,Motor vehicle traffic accident involving collision with pedestrian injuring driver of motor vehicle other than motorcycle,Mv coll w pedest-driver
814.1,8141,Motor vehicle traffic accident involving collision with pedestrian injuring passenger in motor vehicle other than motorcycle,Mv coll w pedest-pasngr
814.2,8142,Motor vehicle traffic accident involving collision with pedestrian injuring motorcyclist,Mv coll w pedest-motcycl
814.3,8143,Motor vehicle traffic accident involving collision with pedestrian injuring passenger on motorcycle,Mv coll w ped-mcycl psgr
814.4,8144,Motor vehicle traffic accident involving collision with pedestrian injuring occupant of streetcar,Mv coll w pedest-st car
814.5,8145,Motor vehicle traffic accident involving collision with pedestrian injuring rider of animal; occupant of animal drawn vehicle,Mv coll w ped-anim rid
814.6,8146,Motor vehicle traffic accident involving collision with pedestrian injuring pedal cyclist,Mv coll w ped-ped cycl
814.7,8147,Motor vehicle traffic accident involving collision with pedestrian injuring pedestrian,Mv coll w pedest-pedest
814.8,8148,Motor vehicle traffic accident involving collision with pedestrian injuring other specified person,Mv coll w pedes-pers NEC
814.9,8149,Motor vehicle traffic accident involving collision with pedestrian injuring unspecified person,Mv coll w pedes-pers NOS
815.0,8150,Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle,Mv coll w oth obj-driver
815.1,8151,Other motor vehicle traffic accident involving collision on the highway injuring passenger in motor vehicle other than motorcycle,Mv coll w oth obj-pasngr
815.2,8152,Other motor vehicle traffic accident involving collision on the highway injuring motorcyclist,Mv coll w oth obj-mocycl
815.3,8153,Other motor vehicle traffic accident involving collision on the highway injuring passenger on motorcycle,Mv coll w obj-mcycl psgr
815.4,8154,Other motor vehicle traffic accident involving collision on the highway injuring occupant of streetcar,Mv coll w obj-st car
815.5,8155,Other motor vehicle traffic accident involving collision on the highway injuring rider of animal; occupant of animal-drawn vehicle,Mv coll w obj-anim rider
815.6,8156,Other motor vehicle traffic accident involving collision on the highway injuring pedal cyclist,Mv coll w obj-ped cycl
815.7,8157,Other motor vehicle traffic accident involving collision on the highway injuring pedestrian,Mv coll w obj-pedest
815.8,8158,Other motor vehicle traffic accident involving collision on the highway injuring other specified person,Mv coll w obj-pers NEC
815.9,8159,Other motor vehicle traffic accident involving collision on the highway injuring unspecified person,Mv coll w obj-pers NOS
816.0,8160,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring driver of motor vehicle other than motorcycle",Loss control mv acc-driv
816.1,8161,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring passenger in motor vehicle other than motorcycle",Loss control mv acc-psgr
816.2,8162,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring motorcyclist",Loss control mv-mocycl
816.3,8163,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring passenger on motorcycle",Loss control mv-mcyc psg
816.4,8164,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring occupant of streetcar",Loss cont mv acc-st car
816.5,8165,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring rider of animal; occupant of animal-drawn vehicle",Loss cont mv-anim rider
816.6,8166,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring pedal cyclist",Loss control mv-ped cycl
816.7,8167,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring pedestrian",Loss control mv-pedest
816.8,8168,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring other specified person",Loss control mv-pers NEC
816.9,8169,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring unspecified person",Loss control mv-pers NOS
817.0,8170,Noncollision motor vehicle traffic accident while boarding or alighting injuring driver of motor vehicle other than motorcycle,Mv acc board/alight-driv
817.1,8171,Noncollision motor vehicle traffic accident while boarding or alighting injuring passenger in motor vehicle other than motorcycle,Mv acc board/alight-psgr
817.2,8172,Noncollision motor vehicle traffic accident while boarding or alighting injuring motorcyclist,Mv board/alight-motcycl
817.3,8173,Noncollision motor vehicle traffic accident while boarding or alighting injuring passenger on motorcycle,Mv brd/alight-mcycl psgr
817.4,8174,Noncollision motor vehicle traffic accident while boarding or alighting injuring occupant of streetcar,Mv acc brd/alight-st car
817.5,8175,Noncollision motor vehicle traffic accident while boarding or alighting injuring rider of animal; occupant of animal-drawn vehicle,Mv brd/alight-anim rider
817.6,8176,Noncollision motor vehicle traffic accident while boarding or alighting injuring pedal cyclist,Mv brd/alight-ped cycl
817.7,8177,Noncollision motor vehicle traffic accident while boarding or alighting injuring pedestrian,Mv brd/alight-pedestrian
817.8,8178,Noncollision motor vehicle traffic accident while boarding or alighting injuring other specified person,Mv board/alight-pers NEC
817.9,8179,Noncollision motor vehicle traffic accident while boarding or alighting injuring unspecified person,Mv board/alight-pers NOS
818.0,8180,Other noncollision motor vehicle traffic accident injuring driver of motor vehicle other than motorcycle,Mv traff acc NEC-driver
818.1,8181,Other noncollision motor vehicle traffic accident injuring passenger in motor vehicle other than motorcycle,Mv traff acc NEC-pasngr
818.2,8182,Other noncollision motor vehicle traffic accident injuring motorcyclist,Mv traff acc NEC-mocycl
818.3,8183,Other noncollision motor vehicle traffic accident injuring passenger on motorcycle,Mv traff acc-mcycl psgr
818.4,8184,Other noncollision motor vehicle traffic accident injuring occupant of streetcar,Mv traff acc NEC-st car
818.5,8185,Other noncollision motor vehicle traffic accident injuring rider of animal; occupant of animal-drawn vehicle,Mv traff acc-anim rider
818.6,8186,Other noncollision motor vehicle traffic accident injuring pedal cyclist,Mv traff acc-ped cyc
818.7,8187,Other noncollision motor vehicle traffic accident injuring pedestrian,Mv traff acc NEC-pedest
818.8,8188,Other noncollision motor vehicle traffic accident injuring other specified person,Mv traff acc-pers NEC
818.9,8189,Other noncollision motor vehicle traffic accident injuring unspecified person,Mv traff acc-pers NOS
819.0,8190,Motor vehicle traffic accident of unspecified nature injuring driver of motor vehicle other than motorcycle,Traffic acc NOS-driver
819.1,8191,Motor vehicle traffic accident of unspecified nature injuring passenger in motor vehicle other than motorcycle,Traffic acc NOS-pasngr
819.2,8192,Motor vehicle traffic accident of unspecified nature injuring motorcyclist,Traffic acc NOS-motcycl
819.3,8193,Motor vehicle traffic accident of unspecified nature injuring passenger on motorcycle,Traff acc NOS-mcycl psgr
819.4,8194,Motor vehicle traffic accident of unspecified nature injuring occupant of streetcar,Traffic acc NOS-st car
819.5,8195,Motor vehicle traffic accident of unspecified nature injuring rider of animal; occupant of animal-drawn vehicle,Traff acc NOS-anim rider
819.6,8196,Motor vehicle traffic accident of unspecified nature injuring pedal cyclist,Traffic acc NOS-ped cycl
819.7,8197,Motor vehicle traffic accident of unspecified nature injuring pedestrian,Traffic acc NOS-pedest
819.8,8198,Motor vehicle traffic accident of unspecified nature injuring other specified person,Traffic acc NOS-pers NEC
819.9,8199,Motor vehicle traffic accident of unspecified nature injuring unspecified person,Traffic acc NOS-pers NOS
820.0,8200,Nontraffic accident involving motor-driven snow vehicle injuring driver of motor vehicle other than motorcycle,Snow veh acc-driver
820.1,8201,Nontraffic accident involving motor-driven snow vehicle injuring passenger in motor vehicle other than motorcycle,Snow veh acc-pasngr
820.2,8202,Nontraffic accident involving motor-driven snow vehicle injuring motorcyclist,Snow veh acc-motorcycl
820.3,8203,Nontraffic accident involving motor-driven snow vehicle injuring passenger on motorcycle,Snow veh acc-mcycl psgr
820.4,8204,Nontraffic accident involving motor-driven snow vehicle injuring occupant of streetcar,Snow veh acc-st car
820.5,8205,Nontraffic accident involving motor-driven snow vehicle injuring rider of animal; occupant of animal-drawn vehicle,Snow veh acc-anim rider
820.6,8206,Nontraffic accident involving motor-driven snow vehicle injuring pedal cyclist,Snow veh acc-ped cycl
820.7,8207,Nontraffic accident involving motor-driven snow vehicle injuring pedestrian,Snow veh acc-pedest
820.8,8208,Nontraffic accident involving motor-driven snow vehicle injuring other specified person,Snow veh acc-pers NEC
820.9,8209,Nontraffic accident involving motor-driven snow vehicle injuring unspecified person,Snow veh acc-pers NOS
821.0,8210,Nontraffic accident involving other off-road motor vehicle injuring driver of motor vehicle other than motorcycle,Oth off-road mv acc-driv
821.1,8211,Nontraffic accident involving other off-road motor vehicle injuring passenger in motor vehicle other than motorcycle,Oth off-road mv acc-psgr
821.2,8212,Nontraffic accident involving other off-road motor vehicle injuring motorcyclist,Oth off-road mv-mocycl
821.3,8213,Nontraffic accident involving other off-road motor vehicle injuring passenger on motorcycle,Oth off-road mv-mcyc psg
821.4,8214,Nontraffic accident involving other off-road motor vehicle injuring occupant of streetcar,Oth off-road mv-st car
821.5,8215,Nontraffic accident involving other off-road motor vehicle injuring rider of animal; occupant of animal-drawn vehicle,Oth off-road mv-anim rid
821.6,8216,Nontraffic accident involving other off-road motor vehicle injuring pedal cyclist,Oth off-road mv-ped cycl
821.7,8217,Nontraffic accident involving other off-road motor vehicle injuring pedestrian,Oth off-road mv-pedest
821.8,8218,Nontraffic accident involving other off-road motor vehicle injuring other specified person,Oth off-road mv-pers NEC
821.9,8219,Nontraffic accident involving other off-road motor vehicle injuring unspecified person,Oth off-road mv-pers NOS
822.0,8220,Other motor vehicle nontraffic accident involving collision with moving object injuring driver of motor vehicle other than motorcycle,Oth coll w mov obj-driv
822.1,8221,Other motor vehicle nontraffic accident involving collision with moving object injuring passenger in motor vehicle other than motorcycle,Oth coll w mov obj-psgr
822.2,8222,Other motor vehicle nontraffic accident involving collision with moving object injuring motorcyclist,Oth coll mov obj-mocycl
822.3,8223,Other motor vehicle nontraffic accident involving collision with moving object injuring passenger on motorcycle,Oth coll mov obj-cyc psg
822.4,8224,Other motor vehicle nontraffic accident involving collision with moving object injuring occupant of streetcar,Oth coll mov obj-st car
822.5,8225,Other motor vehicle nontraffic accident involving collision with moving object injuring rider of animal; occupant of animal-drawn vehicle,Oth coll mov obj-rider
822.6,8226,Other motor vehicle nontraffic accident involving collision with moving object injuring pedal cyclist,Oth coll mov obj-ped cyc
822.7,8227,Other motor vehicle nontraffic accident involving collision with moving object injuring pedestrian,Oth coll mov obj-pedest
822.8,8228,Other motor vehicle nontraffic accident involving collision with moving object injuring other specified person,Oth coll mov obj-per NEC
822.9,8229,Other motor vehicle nontraffic accident involving collision with moving object injuring unspecified person,Oth coll mov obj-per NOS
823.0,8230,Other motor vehicle nontraffic accident involving collision with stationary object injuring driver of motor vehicle other than motorcycle,Oth coll stndng obj-driv
823.1,8231,Other motor vehicle nontraffic accident involving collision with stationary object injuring passenger in motor vehicle other than motorcycle,Oth coll stndng obj-psgr
823.2,8232,Other motor vehicle nontraffic accident involving collision with stationary object injuring motorcyclist,Oth coll stnd obj-mocycl
823.3,8233,Other motor vehicle nontraffic accident involving collision with stationary object injuring passenger on motorcycle,Oth coll stn obj-cyc psg
823.4,8234,Other motor vehicle nontraffic accident involving collision with stationary object injuring occupant of streetcar,Oth coll stnd obj-st car
823.5,8235,Other motor vehicle nontraffic accident involving collision with stationary object injuring rider of animal; occupant of animal-drawn vehicle,Oth coll stnd obj-rider
823.6,8236,Other motor vehicle nontraffic accident involving collision with stationary object injuring pedal cyclist,Oth coll stn obj-ped cyc
823.7,8237,Other motor vehicle nontraffic accident involving collision with stationary object injuring pedestrian,Oth coll stnd obj-pedest
823.8,8238,Other motor vehicle nontraffic accident involving collision with stationary object injuring other specified person,Oth coll stn obj-per NEC
823.9,8239,Other motor vehicle nontraffic accident involving collision with stationary object injuring unspecified person,Oth col-stnd-obj-per NOS
824.0,8240,Other motor vehicle nontraffic accident while boarding and alighting injuring driver of motor vehicle other than motorcycle,N-traf board/alight-driv
824.1,8241,Other motor vehicle nontraffic accident while boarding and alighting injuring passenger in motor vehicle other than motorcycle,N-traf board/alight-psgr
824.2,8242,Other motor vehicle nontraffic accident while boarding and alighting injuring motorcyclist,N-traf brd/alight-mocycl
824.3,8243,Other motor vehicle nontraffic accident while boarding and alighting injuring passenger on motorcycle,N-traf brd/alit-mcyc psg
824.4,8244,Other motor vehicle nontraffic accident while boarding and alighting injuring occupant of streetcar,N-traf brd/alit-st car
824.5,8245,Other motor vehicle nontraffic accident while boarding and alighting injuring rider of animal; occupant of animal-drawn vehicle,N-traf brd/alit-anim rid
824.6,8246,Other motor vehicle nontraffic accident while boarding and alighting injuring pedal cyclist,N-traf brd/alit-ped cycl
824.7,8247,Other motor vehicle nontraffic accident while boarding and alighting injuring pedestrian,N-traf brd/alit-pedest
824.8,8248,Other motor vehicle nontraffic accident while boarding and alighting injuring other specified person,N-traf brd/alit-pers NEC
824.9,8249,Other motor vehicle nontraffic accident while boarding and alighting injuring unspecified person,N-traf brd/alit-pers NOS
825.0,8250,Other motor vehicle nontraffic accident of other and unspecified nature injuring driver of motor vehicle other than motorcycle,Mv n-traff acc NEC-driv
