PROC_CODE,ORG_PROC_CODE,LONG_DESC,SHORT_DESC
0.81,81,"Revision of knee replacement, tibial component",Rev knee repl-tibia comp
0.82,82,"Revision of knee replacement, femoral component",Rev knee repl-femur comp
0.83,83,"Revision of knee replacement, patellar component",Rev knee replace-patella
0.84,84,"Revision of total knee replacement, tibial insert (liner)",Rev knee repl-tibia lin
0.85,85,"Resurfacing hip, total, acetabulum and femoral head","Resrf hip,total-acet/fem"
0.86,86,"Resurfacing hip, partial, femoral head","Resrf hip,part-fem head"
0.87,87,"Resurfacing hip, partial, acetabulum","Resrf hip,part-acetablum"
0.91,91,Transplant from live related donor,Trnsplnt live rel donor
0.92,92,Transplant from live non-related donor,Trnsplnt live nonrel don
0.93,93,Transplant from cadaver,Transplant cadaver donor
0.94,94,Intra-operative neurophysiologic monitoring,Intra-op neurophys montr
0.95,95,Injection or infusion of glucarpidase,Injct/infus glucarpidase
0.96,96,Infusion of 4-Factor Prothrombin Complex Concentrate,Infusion 4F-PCC
1.01,101,Cisternal puncture,Cisternal puncture
1.02,102,Ventriculopuncture through previously implanted catheter,Ventricl shunt tube punc
1.09,109,Other cranial puncture,Cranial puncture NEC
1.1,110,Intracranial pressure monitoring,Intracran pressure montr
1.11,111,Closed [percutaneous] [needle] biopsy of cerebral meninges,Clos cereb meninges bx
1.12,112,Open biopsy of cerebral meninges,Open cereb meninges bx
1.13,113,Closed [percutaneous] [needle] biopsy of brain,Closed brain biopsy
1.14,114,Open biopsy of brain,Open brain biopsy
1.15,115,Biopsy of skull,Skull biopsy
1.16,116,Intracranial oxygen monitoring,Intracranial 02 monitor
1.17,117,Brain temperature monitoring,Brain temp monitoring
1.18,118,Other diagnostic procedures on brain and cerebral meninges,Other brain dx procedure
1.19,119,Other diagnostic procedures on skull,Other skull dx procedure
1.2,120,Cranial implantation or replacement of neurostimulator pulse generator,Imp/repl brain pulse gen
1.21,121,Incision and drainage of cranial sinus,Cranial sinus i & d
1.22,122,Removal of intracranial neurostimulator lead(s),Removal brain stim lead
1.23,123,Reopening of craniotomy site,Reopen craniotomy site
1.24,124,Other craniotomy,Other craniotomy
1.25,125,Other craniectomy,Other craniectomy
1.26,126,Insertion of catheter(s) into cranial cavity or tissue,Ins cath cranial cav/tis
1.27,127,Removal of catheter(s) from cranial cavity or tissue,Rem cath cranial cav/tis
1.28,128,Placement of intracerebral catheter(s) via burr hole(s),Intracereb cth-burr hole
1.29,129,Removal of cranial neurostimulator pulse generator,Rem brain pulse generatr
1.31,131,Incision of cerebral meninges,Incise cerebral meninges
1.32,132,Lobotomy and tractotomy,Lobotomy & tractotomy
1.39,139,Other incision of brain,Other brain incision
1.41,141,Operations on thalamus,Thalamus operations
1.42,142,Operations on globus pallidus,Globus pallidus ops
1.51,151,Excision of lesion or tissue of cerebral meninges,Ex cereb meningeal les
1.52,152,Hemispherectomy,Hemispherectomy
1.53,153,Lobectomy of brain,Brain lobectomy
1.59,159,Other excision or destruction of lesion or tissue of brain,Other brain excision
0.16,16,Excision of lesion of skull,Excise skull lesion
2.01,201,Opening of cranial suture,Linear craniectomy
2.02,202,Elevation of skull fracture fragments,Elevate skull fx fragmnt
2.03,203,Formation of cranial bone flap,Skull flap formation
2.04,204,Bone graft to skull,Bone graft to skull
2.05,205,Insertion of skull plate,Skull plate insertion
2.06,206,Other cranial osteoplasty,Cranial osteoplasty NEC
2.07,207,Removal of skull plate,Skull plate removal
2.11,211,Simple suture of dura mater of brain,Simple suture of dura
2.12,212,Other repair of cerebral meninges,Brain meninge repair NEC
2.13,213,Ligation of meningeal vessel,Meninge vessel ligation
2.14,214,Choroid plexectomy,Choroid plexectomy
2.21,221,Insertion or replacement of external ventricular drain [EVD],Insert/replace EVD
2.22,222,Intracranial ventricular shunt or anastomosis,Intrcran vent shunt/anas
2.31,231,Ventricular shunt to structure in head and neck,Ventricl shunt-head/neck
2.32,232,Ventricular shunt to circulatory system,Ventri shunt-circula sys
2.33,233,Ventricular shunt to thoracic cavity,Ventricl shunt-thorax
2.34,234,Ventricular shunt to abdominal cavity and organs,Ventricl shunt-abdomen
2.35,235,Ventricular shunt to urinary system,Ventri shunt-uninary sys
2.39,239,Ventricular shunt to extracranial site NEC,Vent shunt extracran NEC
2.41,241,Irrigation and exploration of ventricular shunt,Irrigate/expl vent shunt
2.42,242,Replacement of ventricular shunt,Replace ventricle shunt
2.43,243,Removal of ventricular shunt,Remove ventricle shunt
2.91,291,Lysis of cortical adhesions,Lysis cortical adhesion
2.92,292,Repair of brain,Brain repair
2.93,293,Implantation or replacement of intracranial neurostimulator lead(s),Imp/repl brain stim lead
2.94,294,Insertion or replacement of skull tongs or halo traction device,Insert/replac skull tong
2.95,295,Removal of skull tongs or halo traction device,Remove skull tongs
2.96,296,Insertion of sphenoidal electrodes,Insert sphenoid electrod
2.99,299,"Other operations on skull, brain, and cerebral meninges",Skull & brain op NEC
3.01,301,Removal of foreign body from spinal canal,Removal FB spinal canal
3.02,302,Reopening of laminectomy site,Reopen laminectomy site
3.09,309,Other exploration and decompression of spinal canal,Spinal canal explor NEC
0.31,31,Division of intraspinal nerve root,Intraspin nerve root div
3.21,321,Percutaneous chordotomy,Percutaneous chordotomy
3.29,329,Other chordotomy,Other chordotomy
3.31,331,Spinal tap,Spinal tap
3.32,332,Biopsy of spinal cord or spinal meninges,Spinal cord/meninges bx
3.39,339,Other diagnostic procedures on spinal cord and spinal canal structures,Other spinal dx proc
0.34,34,Excision or destruction of lesion of spinal cord or spinal meninges,Excis spinal cord lesion
3.51,351,Repair of spinal meningocele,Spine meningocele repair
3.52,352,Repair of spinal myelomeningocele,Myelomeningocel repair
3.53,353,Repair of vertebral fracture,Vertebral fx repair
3.59,359,Other repair and plastic operations on spinal cord structures,Spinal struct repair NEC
0.36,36,Lysis of adhesions of spinal cord and nerve roots,Spinal cord adhesiolysis
3.71,371,Spinal subarachnoid-peritoneal shunt,Subarach-periton shunt
3.72,372,Spinal subarachnoid-ureteral shunt,Subarach-ureteral shunt
3.79,379,Other shunt of spinal theca,Oth spinal thecal shunt
0.38,38,Injection of destructive agent into spinal canal,Destr inject-spine canal
3.9,390,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances,Insert spinal canal cath
3.91,391,Injection of anesthetic into spinal canal for analgesia,Anesth inject-spin canal
3.92,392,Injection of other agent into spinal canal,Spinal canal inject NEC
3.93,393,Implantation or replacement of spinal neurostimulator lead(s),Imp/repl spine stim lead
3.94,394,Removal of spinal neurostimulator lead(s),Removal spine stim lead
3.95,395,Spinal blood patch,Spinal patch
3.96,396,Percutaneous denervation of facet,Percutan facet denervat
3.97,397,Revision of spinal thecal shunt,Revise spine theca shunt
3.98,398,Removal of spinal thecal shunt,Remove spine theca shunt
3.99,399,Other operations on spinal cord and spinal canal structures,Spine canal struc op NEC
4.01,401,Excision of acoustic neuroma,Excision acoustc neuroma
4.02,402,Division of trigeminal nerve,Trigeminal nerv division
4.03,403,Division or crushing of other cranial and peripheral nerves,Periph nerve div NEC
4.04,404,Other incision of cranial and peripheral nerves,Periph nerve incis NEC
4.05,405,Gasserian ganglionectomy,Gasserian ganglionectomy
4.06,406,Other cranial or peripheral ganglionectomy,Periph ganglionect NEC
4.07,407,Other excision or avulsion of cranial and peripheral nerves,Periph nerv excision NEC
4.11,411,Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion,Clos periph nerve biopsy
4.12,412,Open biopsy of cranial or peripheral nerve or ganglion,Open periph nerve biopsy
4.19,419,Other diagnostic procedures on cranial and peripheral nerves and ganglia,Periph nerve dx proc NEC
0.42,42,Destruction of cranial and peripheral nerves,Periph nerve destruction
0.43,43,Suture of cranial and peripheral nerves,Peripheral nerve suture
4.41,441,Decompression of trigeminal nerve root,Decompress trigem root
4.42,442,Other cranial nerve decompression,Cran nerv root decom NEC
4.43,443,Release of carpal tunnel,Carpal tunnel release
4.44,444,Release of tarsal tunnel,Tarsal tunnel release
4.49,449,Other peripheral nerve or ganglion decompression or lysis of adhesions,Per nerve adhesiolys NEC
0.45,45,Cranial or peripheral nerve graft,Peripheral nerve graft
0.46,46,Transposition of cranial and peripheral nerves,Periph nerve transposit
4.71,471,Hypoglossal-facial anastomosis,Hypogloss-facial anastom
4.72,472,Accessory-facial anastomosis,Accessory-facial anastom
4.73,473,Accessory-hypoglossal anastomosis,Access-hypogloss anastom
4.74,474,Other anastomosis of cranial or peripheral nerve,Periph nerv anastom NEC
4.75,475,Revision of previous repair of cranial and peripheral nerves,Postop revis per nerv op
4.76,476,Repair of old traumatic injury of cranial and peripheral nerves,Late repair per nerv inj
4.79,479,Other neuroplasty,Other neuroplasty
4.8,480,"Peripheral nerve injection, not otherwise specified",Periph nerve inject NOS
4.81,481,Injection of anesthetic into peripheral nerve for analgesia,Anesth injec periph nerv
4.89,489,"Injection of other agent, except neurolytic",Periph nerve inject NEC
4.91,491,Neurectasis,Neurectasis
4.92,492,Implantation or replacement of peripheral neurostimulator lead(s),Imp/repl peri stim lead
4.93,493,Removal of peripheral neurostimulator lead(s),Removal peri stim lead
4.99,499,Other operations on cranial and peripheral nerves,Peripheral nerve ops NEC
0.5,50,Division of sympathetic nerve or ganglion,Sympath nerve division
5.11,511,Biopsy of sympathetic nerve or ganglion,Sympathetic nerve biopsy
5.19,519,Other diagnostic procedures on sympathetic nerves or ganglia,Sympath nrv dx proc NEC
5.21,521,Sphenopalatine ganglionectomy,Sphenopalatin ganglionec
5.22,522,Cervical sympathectomy,Cervical sympathectomy
5.23,523,Lumbar sympathectomy,Lumbar sympathectomy
5.24,524,Presacral sympathectomy,Presacral sympathectomy
5.25,525,Periarterial sympathectomy,Periart sympathectomy
5.29,529,Other sympathectomy and ganglionectomy,Other sympathectomy
5.31,531,Injection of anesthetic into sympathetic nerve for analgesia,Anesth inject symp nerve
5.32,532,Injection of neurolytic agent into sympathetic nerve,Neurolyt injec-symp nrv
5.39,539,Other injection into sympathetic nerve or ganglion,Sympath nerve inject NEC
5.81,581,Repair of sympathetic nerve or ganglion,Sympathetic nerve repair
5.89,589,Other operations on sympathetic nerves or ganglia,Sympathetic nerve op NEC
0.59,59,Other operations on nervous system,Other nervous system ops
6.01,601,Aspiration of thyroid field,Thyroid field aspiration
6.02,602,Reopening of wound of thyroid field,Reopen thyroid field wnd
6.09,609,Other incision of thyroid field,Incis thyroid field NEC
6.11,611,Closed [percutaneous] [needle] biopsy of thyroid gland,Closed thyroid gland bx
6.12,612,Open biopsy of thyroid gland,Open thyroid gland bx
6.13,613,Biopsy of parathyroid gland,Parathyroid biopsy
6.19,619,Other diagnostic procedures on thyroid and parathyroid glands,Thyr/parathy dx proc NEC
0.62,62,Unilateral thyroid lobectomy,Unilat thyroid lobectomy
6.31,631,Excision of lesion of thyroid,Excision thyroid lesion
6.39,639,Other partial thyroidectomy,Part thyroidectomy NEC
0.64,64,Complete thyroidectomy,Complete thyroidectomy
6.5,650,"Substernal thyroidectomy, not otherwise specified",Substern thyroidect NOS
6.51,651,Partial substernal thyroidectomy,Part substern thyroidect
6.52,652,Complete substernal thyroidectomy,Tot substern thyroidect
0.66,66,Excision of lingual thyroid,Lingual thyroid excision
0.67,67,Excision of thyroglossal duct or tract,Thyrogloss duct excision
6.81,681,Complete parathyroidectomy,Total parathyroidectomy
6.89,689,Other parathyroidectomy,Other parathyroidectomy
6.91,691,Division of thyroid isthmus,Thyroid isthmus division
6.92,692,Ligation of thyroid vessels,Thyroid vessel ligation
6.93,693,Suture of thyroid gland,Thyroid suture
6.94,694,Thyroid tissue reimplantation,Thyroid reimplantation
6.95,695,Parathyroid tissue reimplantation,Parathyroid reimplant
6.98,698,Other operations on thyroid glands,Other thyroid operations
6.99,699,Other operations on parathyroid glands,Other parathyroid ops
7,700,"Exploration of adrenal field, not otherwise specified",Adrenal exploration NOS
7.01,701,Unilateral exploration of adrenal field,Unilat adrenal explorat
7.02,702,Bilateral exploration of adrenal field,Bilat adrenal explorat
7.11,711,Closed [percutaneous] [needle] biopsy of adrenal gland,Closed adrenal gland bx
7.12,712,Open biopsy of adrenal gland,Open adrenal gland bx
7.13,713,"Biopsy of pituitary gland, transfrontal approach",Transfront pituitary bx
7.14,714,"Biopsy of pituitary gland, transsphenoidal approach",Transphen pituitary bx
7.15,715,"Biopsy of pituitary gland, unspecified approach",Pituitary biopsy NOS
7.16,716,Biopsy of thymus,Thymus biopsy
7.17,717,Biopsy of pineal gland,Pineal biopsy
7.19,719,"Other diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus",Endocrine dx proc NEC
7.21,721,Excision of lesion of adrenal gland,Adrenal lesion excision
7.22,722,Unilateral adrenalectomy,Unilateral adrenalectomy
7.29,729,Other partial adrenalectomy,Part adrenalectomy NEC
0.73,73,Bilateral adrenalectomy,Bilateral adrenalectomy
7.41,741,Incision of adrenal gland,Adrenal incision
7.42,742,Division of nerves to adrenal glands,Adrenal nerve division
7.43,743,Ligation of adrenal vessels,Adrenal vessel ligation
7.44,744,Repair of adrenal gland,Adrenal repair
7.45,745,Reimplantation of adrenal tissue,Adrenal reimplantation
7.49,749,"Other operations on adrenal glands, nerves, and vessels",Adrenal operation NEC
7.51,751,Exploration of pineal field,Pineal field exploration
7.52,752,Incision of pineal gland,Pineal gland incision
7.53,753,Partial excision of pineal gland,Partial pinealectomy
7.54,754,Total excision of pineal gland,Total pinealectomy
7.59,759,Other operations on pineal gland,Pineal operation NEC
7.61,761,"Partial excision of pituitary gland, transfrontal approach",Exc pituit les-transfron
7.62,762,"Partial excision of pituitary gland, transsphenoidal approach",Exc pituit les-transphen
7.63,763,"Partial excision of pituitary gland, unspecified approach",Part excis pituitary NOS
7.64,764,"Total excision of pituitary gland, transfrontal approach",Tot exc pituit-transfron
7.65,765,"Total excision of pituitary gland, transsphenoidal approach",Tot exc pituit-transphen
7.68,768,"Total excision of pituitary gland, other specified approach",Total exc pituitary NEC
7.69,769,"Total excision of pituitary gland, unspecified approach",Total exc pituitary NOS
7.71,771,Exploration of pituitary fossa,Pituitary fossa explorat
7.72,772,Incision of pituitary gland,Pituitary gland incision
7.79,779,Other operations on hypophysis,Pituitary operation NEC
7.8,780,"Thymectomy, not otherwise specified",Thymectomy NOS
7.81,781,Other partial excision of thymus,Oth part excision thymus
7.82,782,Other total excision of thymus,Oth totl excision thymus
7.83,783,Thoracoscopic partial excision of thymus,Thorac part exisn thymus
7.84,784,Thoracoscopic total excision of thymus,Thorac total exc thymus
7.91,791,Exploration of thymus field,Thymus field exploration
7.92,792,Other incision of thymus,Other incision of thymus
7.93,793,Repair of thymus,Repair of thymus
7.94,794,Transplantation of thymus,Thymus transplantation
7.95,795,Thoracoscopic incision of thymus,Thorac incision thymus
7.98,798,Other and unspecified thoracoscopic operations on thymus,Oth thorac op thymus NOS
7.99,799,Other and unspecified operations on thymus,Other thymus ops NOS
8.01,801,Incision of lid margin,Incision of lid margin
8.02,802,Severing of blepharorrhaphy,Blepharorrhaphy severing
8.09,809,Other incision of eyelid,Other eyelid incision
8.11,811,Biopsy of eyelid,Eyelid biopsy
8.19,819,Other diagnostic procedures on eyelid,Eyelid dx procedure NEC
8.2,820,"Removal of lesion of eyelid, not otherwise specified",Remove eyelid lesion NOS
8.21,821,Excision of chalazion,Chalazion excision
8.22,822,Excision of other minor lesion of eyelid,Excise minor les lid NEC
8.23,823,"Excision of major lesion of eyelid, partial-thickness",Exc maj les lid prt-thic
8.24,824,"Excision of major lesion of eyelid, full-thickness",Exc maj les lid ful-thic
8.25,825,Destruction of lesion of eyelid,Destruction lid lesion
8.31,831,Repair of blepharoptosis by frontalis muscle technique with suture,Ptosis rep-front mus sut
8.32,832,Repair of blepharoptosis by frontalis muscle technique with fascial sling,Ptosis rep-fron mus slng
8.33,833,Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis,Ptosis rep-levat mus adv
8.34,834,Repair of blepharoptosis by other levator muscle techniques,Ptosis rep-levat mus NEC
8.35,835,Repair of blepharoptosis by tarsal technique,Ptos rep-tarsal techniq
8.36,836,Repair of blepharoptosis by other techniques,Blepharoptos repair NEC
8.37,837,Reduction of overcorrection of ptosis,Reduc overcorrect ptosis
8.38,838,Correction of lid retraction,Correct lid retraction
8.41,841,Repair of entropion or ectropion by thermocauterization,Thermocaut/entropion rep
8.42,842,Repair of entropion or ectropion by suture technique,Suture entropion repair
8.43,843,Repair of entropion or ectropion with wedge resection,Wedg resec entropion rep
8.44,844,Repair of entropion or ectropion with lid reconstruction,Lid recons entropion rep
8.49,849,Other repair of entropion or ectropion,Entropion/ectrop rep NEC
8.51,851,Canthotomy,Canthotomy
8.52,852,Blepharorrhaphy,Blepharorrhaphy
8.59,859,Other adjustment of lid position,Adjust lid position NEC
8.61,861,Reconstruction of eyelid with skin flap or graft,Lid reconst w skin graft
8.62,862,Reconstruction of eyelid with mucous membrane flap or graft,Lid reconst w muc graft
8.63,863,Reconstruction of eyelid with hair follicle graft,Lid reconst w hair graft
8.64,864,Reconstruction of eyelid with tarsoconjunctival flap,Lid recon-tarsoconj flap
8.69,869,Other reconstruction of eyelid with flaps or grafts,Lid reconstr w graft NEC
8.7,870,"Reconstruction of eyelid, not otherwise specified",Lid reconstruction NOS
8.71,871,"Reconstruction of eyelid involving lid margin, partial-thickness",Lid marg recon-part thic
8.72,872,"Other reconstruction of eyelid, partial-thickness",Lid recons-part thic NEC
8.73,873,"Reconstruction of eyelid involving lid margin, full-thickness",Lid marg recons ful thic
8.74,874,"Other reconstruction of eyelid, full-thickness",Lid reconst-ful thic NEC
8.81,881,Linear repair of laceration of eyelid or eyebrow,Linear rep lid lacer
8.82,882,"Repair of laceration involving lid margin, partial-thickness",Lid marg lac rx-part th
8.83,883,"Other repair of laceration of eyelid, partial-thickness",Lid lacer rx-prt th NEC
8.84,884,"Repair of laceration involving lid margin, full-thickness",Lid marg lac rx-ful thic
8.85,885,"Other repair of laceration of eyelid, full-thickness",Lid lac rx-ful thic NEC
8.86,886,Lower eyelid rhytidectomy,Lower lid rhytidectomy
8.87,887,Upper eyelid rhytidectomy,Upper lid rhytidectomy
8.89,889,Other eyelid repair,Eyelid repair NEC
8.91,891,Electrosurgical epilation of eyelid,Electrosurg lid epilat
8.92,892,Cryosurgical epilation of eyelid,Cryosurg lid epilation
8.93,893,Other epilation of eyelid,Eyelid epilation NEC
8.99,899,Other operations on eyelids,Eyelid operation NEC
0.9,90,Incision of lacrimal gland,Lacrimal gland incision
9.11,911,Biopsy of lacrimal gland,Lacrimal gland biopsy
9.12,912,Biopsy of lacrimal sac,Lacrimal sac biopsy
9.19,919,Other diagnostic procedures on lacrimal system,Lacrimal sys dx proc NEC
9.2,920,"Excision of lacrimal gland, not otherwise specified",Exc lacrimal gland NOS
9.21,921,Excision of lesion of lacrimal gland,Excis les lacrimal gland
9.22,922,Other partial dacryoadenectomy,Part dacryoadenect NEC
9.23,923,Total dacryoadenectomy,Total dacryoadenectomy
0.93,93,Other operations on lacrimal gland,Other lacrimal gland ops
9.41,941,Probing of lacrimal punctum,Lacrimal punctum probe
9.42,942,Probing of lacrimal canaliculi,Lac canaliculi probe
9.43,943,Probing of nasolacrimal duct,Nasolacrimal duct probe
9.44,944,Intubation of nasolacrimal duct,Nasolac duct intubat
9.49,949,Other manipulation of lacrimal passage,Lac passage manip NEC
9.51,951,Incision of lacrimal punctum,Lac punctum incision
9.52,952,Incision of lacrimal canaliculi,Lac canaliculi incision
9.53,953,Incision of lacrimal sac,Lacrimal sac incision
9.59,959,Other incision of lacrimal passages,Lacrim passage incis NEC
0.96,96,Excision of lacrimal sac and passage,Lacrim sac/passage excis
9.71,971,Correction of everted punctum,Correct everted punctum
9.72,972,Other repair of punctum,Punctum repair NEC
9.73,973,Repair of canaliculus,Canaliculus repair
9.81,981,Dacryocystorhinostomy [DCR],Dacryocystorhinostomy
9.82,982,Conjunctivocystorhinostomy,Conjunctivocystorhinost
9.83,983,Conjunctivorhinostomy with insertion of tube or stent,Conjunctivorhinos w tube
9.91,991,Obliteration of lacrimal punctum,Lac punctum obliteration
9.99,999,Other operations on lacrimal system,Lacrimal system op NEC
1,100,Removal of embedded foreign body from conjunctiva by incision,Incise/remov conjunct FB
1.01,101,Other incision of conjunctiva,Conjunctiva incision NEC
10.21,1021,Biopsy of conjunctiva,Conjunctival biopsy
10.29,1029,Other diagnostic procedures on conjunctiva,Conjunctiva dx proc NEC
10.31,1031,Excision of lesion or tissue of conjunctiva,Excise conjunctiv lesion
10.32,1032,Destruction of lesion of conjunctiva,Destruct conjunc les NEC
10.33,1033,Other destructive procedures on conjunctiva,Oth conjunc destruc proc
10.41,1041,Repair of symblepharon with free graft,Symbleph rep w free grft
10.42,1042,Reconstruction of conjunctival cul-de-sac with free graft,Graft conjunc cul-de-sac
10.43,1043,Other reconstruction of conjunctival cul-de-sac,Conjun cul-de-sac rx NEC
10.44,1044,Other free graft to conjunctiva,Conjunc free graft NEC
10.49,1049,Other conjunctivoplasty,Conjunctivoplasty NEC
1.05,105,Lysis of adhesions of conjunctiva and eyelid,Conjunc/lid adhesiolysis
1.06,106,Repair of laceration of conjunctiva,Repair conjunct lacerat
10.91,1091,Subconjunctival injection,Subconjunctival inject
10.99,1099,Other operations on conjunctiva,Conjunctival op NEC
1.1,110,Magnetic removal of embedded foreign body from cornea,Magnet removal cornea FB
1.11,111,Incision of cornea,Corneal incision
11.21,1121,Scraping of cornea for smear or culture,Corneal scrape for smear
11.22,1122,Biopsy of cornea,Corneal biopsy
11.29,1129,Other diagnostic procedures on cornea,Corneal dx proc NEC
11.31,1131,Transposition of pterygium,Pterygium transposition
11.32,1132,Excision of pterygium with corneal graft,Pteryg exc w cornea grft
11.39,1139,Other excision of pterygium,Pterygium excision NEC
11.41,1141,Mechanical removal of corneal epithelium,Mech remov cornea epith
11.42,1142,Thermocauterization of corneal lesion,Thermocaut cornea lesion
11.43,1143,Cryotherapy of corneal lesion,Cryotherap cornea lesion
11.49,1149,Other removal or destruction of corneal lesion,Destruct cornea les NEC
11.51,1151,Suture of corneal laceration,Suture cornea laceration
11.52,1152,Repair of postoperative wound dehiscence of cornea,Rep cornea postop dehisc
11.53,1153,Repair of corneal laceration or wound with conjunctival flap,Rx cornea lac w conj flp
11.59,1159,Other repair of cornea,Corneal repair NEC
11.6,1160,"Corneal transplant, not otherwise specified",Corneal transplant NOS
11.61,1161,Lamellar keratoplasty with autograft,Lam keratplast w autgrft
11.62,1162,Other lamellar keratoplasty,Lamellar keratoplast NEC
11.63,1163,Penetrating keratoplasty with autograft,Perf keratopl w autogrft
